file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
334000.pdf,334,ok,73199,Acrobat Elements 7.0.5 (Windows),PScript5.dll Version 5.2.2,2006-11-16,40,2147,,False,True,True,0,2,0,2
334001.pdf,334,ok,134827,Acrobat Distiller Command 3.02b for Solaris 2.3 and later (SPARC),Textures.: LaserWriter 8 8.5.1,2003-11-17,0,,,False,True,True,0,0,0,0
334002.pdf,334,ok,120199,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2006-08-14,11,1,,False,True,True,0,0,0,0
334006.pdf,334,ok,39059,,XPP,2002-05-03,0,,,False,False,True,0,0,0,0
334007.pdf,334,ok,23689,Acrobat PDFWriter 3.02 for Windows,M:OpinHoldingEUSTACE.TCM.WPD,,2,,,False,True,True,0,0,0,0
334008.pdf,334,ok,128508,JAWS PDFLib,activePDF Server,2007-08-03,6,4,,False,False,True,0,0,0,0
334009.pdf,334,ok,562932,JAWS PDFLib,activePDF Server,2007-09-14,11,3,,False,False,True,0,0,0,0
334010.pdf,334,ok,69321,Corel PDF Engine Version 11.4.0.100,PrintServer130,2007-11-07,0,,,False,False,True,0,0,0,0
334011.pdf,334,ok,81239,Corel PDF Engine Version 9.654,POP90,2001-12-10,7,4,invoice:bill to,True,False,True,0,0,0,0
334012.pdf,334,ok,100889,Corel PDF Engine Version 11.4.0.100,PrintServer130,2007-11-09,2,2,statement:account statement,True,False,True,0,0,0,0
334013.pdf,334,ok,40265,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2005-12-08,0,,,False,True,True,0,0,0,0
334014.pdf,334,ok,2082439,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for PowerPoint,2008-09-05,0,,,False,True,True,0,0,0,0
334015.pdf,334,ok,200628,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2004-08-03,1,5,,False,True,True,0,0,0,0
334016.pdf,334,ok,16782,Acrobat PDFWriter 4.05 for Windows NT,02prb69 - Microsoft Word,2003-08-19,4,5,,False,True,True,0,0,0,0
334017.pdf,334,ok,23158,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-07-14,1,2,,False,True,True,0,0,0,0
334018.pdf,334,ok,456356, ,,2008-08-14,5,2,,False,False,True,0,0,0,0
