producer,files,share_%
Mac OS X 10.13.4 Quartz PDFContext,3141,0.0396
Skia/PDF m87,3109,0.0392
Microsoft® PowerPoint® für Microsoft 365,3101,0.0391
Acrobat PDFWriter 4.0 for Windows NT,3096,0.039
GPL Ghostscript 9.50,3094,0.039
Acrobat Distiller 9.2.0 (Windows),3091,0.039
Adobe PDF Library 20.12.75,3083,0.0389
KONICA MINOLTA bizhub C258,3055,0.0385
iText 2.1.4 (by lowagie.com),3053,0.0385
secPdfProducer,3051,0.0385
pdfTeX-1.40.13,3027,0.0382
dompdf 1.0.2 + CPDF,3025,0.0381
Acrobat Distiller 5.0.5 for Macintosh,2987,0.0377
LibreOffice 6.2,2971,0.0375
Adobe PDF library 11.00,2955,0.0373
Scanner System Image Conversion,2945,0.0371
Skia/PDF m88,2936,0.037
Adobe PDF Library 20.13.96,2936,0.037
macOS Version 10.14.5 (Build 18F132) Quartz PDFContext,2928,0.0369
Acrobat Distiller 10.0.0 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT,2924,0.0369
Acrobat Distiller 10.1.4 (Windows),2920,0.0368
Persits Software AspPDF - www.persits.com,2906,0.0366
Adobe PDF Library 19.10.123,2893,0.0365
mPDF 8.0.8,2871,0.0362
KONICA MINOLTA bizhub C224e,2871,0.0362
Acrobat Distiller 10.1.8 (Windows),2862,0.0361
Acrobat PDFMaker 15 for Word,2856,0.036
iText 5.0.6 (c) 1T3XT BVBA,2854,0.036
iText® 5.4.4 ©2000-2013 1T3XT BVBA (AGPL-version),2854,0.036
Corel PDF Engine Version 17.0.0.337,2853,0.036
iText® 7.1.13 ©2000-2020 iText Group NV (AGPL-version),2850,0.0359
PDFCreator 2.1.2.0,2849,0.0359
PDF Printer / www.bullzip.com / FPG / Freeware Edition (max 10 users),2838,0.0358
GPL Ghostscript 9.22,2812,0.0354
Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,2809,0.0354
Adobe PDF Library 21.1.170,2804,0.0353
Microsoft® Word til Microsoft 365,2800,0.0353
PDFlib PLOP 4.1 (.NET/Win64)/Powered By Crystal,2789,0.0352
LibreOffice 6.3,2775,0.035
PDFCreator 2.3.0.103,2770,0.0349
