file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
033025.pdf,033,ok,392875,Acrobat Distiller 3.01 for Power Macintosh,QuarkXPress(tm) 4.1,2001-04-23,1,363,,False,True,True,0,2,0,2
033026.pdf,033,ok,97822,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2,2006-04-20,1,2001,,False,True,True,0,2,0,2
033051.pdf,033,ok,438350,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-11-14,1,387,,False,True,True,0,2,0,2
033168.pdf,033,ok,235138,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2006-03-27,5,2170,,False,True,True,0,2,0,2
033173.pdf,033,ok,475418,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-09-25,3,132,,False,True,True,0,2,0,2
033313.pdf,033,ok,280188,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2005-01-07,1,2587,,False,True,True,0,2,0,2
033314.pdf,033,ok,475451,Acrobat Distiller 4.05 for Windows,Adobe PageMaker 6.52,2003-03-28,1,296,,False,True,True,0,2,0,2
033321.pdf,033,ok,280989,Acrobat Distiller 4.0 for Macintosh,QuarkXPressª: LaserWriter 8 8.7.1,2002-06-24,1,1959,,False,True,True,0,2,0,2
033336.pdf,033,ok,239849,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2003-06-20,5,126,,False,True,True,0,2,0,2
033340.pdf,033,ok,173386,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2003-06-20,5,614,,False,True,True,0,2,0,2
033557.pdf,033,ok,152184,Acrobat Distiller 2.0 for Power Macintosh,,1996-06-14,2,747,,False,True,True,0,2,0,2
033561.pdf,033,ok,500965,Antenna House PDF Output Library 2.4.0 (Linux),"XSL Formatter V4.1 MR5 (4,1,2007,0509) for Linux",2008-09-18,2,563,,False,False,True,0,2,0,2
