file,producer,institutional,score_P0_published,score_P1_converter_excl,score_P2_authoring_only,score_P3_author_or_editor
001682.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
001683.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
001684.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001685.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
001686.pdf,Adobe PDF Library 5.0,False,0,0,0,0
001687.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001688.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001689.pdf,Acrobat PDFWriter 4.05 for Windows NT,False,0,0,0,0
001690.pdf,Adobe PDF Library 7.0,False,0,0,0,0
001691.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001692.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001693.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001694.pdf,Acrobat Distiller 5.0 for Macintosh,False,0,0,0,0
001695.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001696.pdf,Acrobat Distiller 3.0 for Windows,False,0,0,0,0
001720.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001730.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001737.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001878.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001882.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001897.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001926.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001927.pdf,,False,0,0,0,0
001928.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001929.pdf,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",False,0,0,0,0
001930.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
001931.pdf,Acrobat Distiller 3.01 for Power Macintosh,False,0,0,0,0
001932.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001933.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001934.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001938.pdf,Hyf PDF Output Library 2.2.3 (Solaris),False,2,2,2,2
001940.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001941.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001943.pdf,Acrobat Distiller 4.0 for Macintosh,False,2,2,2,2
001945.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
001946.pdf,Acrobat Distiller 2.1 PE for Windows,False,0,0,0,0
001947.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001948.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001949.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001950.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
001951.pdf,Acrobat PDFWriter 2.01 for Windows,False,2,2,2,2
001953.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001954.pdf,Microsoft® Office Word 2007,False,0,0,0,0
001955.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001956.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001957.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
001958.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001959.pdf,Acrobat PDFWriter 4.0 for Windows NT,False,0,0,0,0
001960.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001961.pdf,ESP Ghostscript 7.07,False,0,0,0,0
001964.pdf,Rumborak PDF-Writer Plus 1.0 RC9 / GS 8.50,False,2,2,2,2
001967.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001977.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001978.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001980.pdf,Acrobat Web Capture 4.05,False,0,0,0,0
001985.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
001987.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,2,2,2,2
001988.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
001765.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001766.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001767.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001768.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001769.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001770.pdf,dgn2pdf,False,0,0,0,0
001775.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001780.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
001785.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001787.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
001793.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
001796.pdf,iText1.1 by lowagie.com (based on itext-paulo-142),False,0,0,0,0
001799.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
001800.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,0,0,0,0
001814.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001815.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001852.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
001854.pdf,iText1.1 by lowagie.com (based on itext-paulo-142),False,0,0,0,0
001869.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001871.pdf,Acrobat Distiller 5.0.2 for Macintosh,False,0,0,0,0
016133.pdf,Acrobat PDFWriter 4.0 for Windows,False,2,2,2,2
016134.pdf,GNU Ghostscript 7.05,False,0,0,0,0
016135.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
